from,to,year,relationship,sector,tv
jw,GNTM,2020,candidate,tv show,Pro7
jw,OneEins       ,2020,contract,modeling,
jw,OneEins       ,2021,contract,modeling,
jw,bullsmgmt,2021,contract,modeling,
jw,bullsmgmt,2022,contract,modeling,
jw,paulmitchell,2020,model,modeling,
jw,fruehling,2020,actor,tv show,ZDF
jw,kerastase,2022,model,advertisement,
jw,samuelgaertner,2022,model,modeling,
jw,Fashionweek_Berlin,2020,model,modeling,
jw,SchöheitvorAlter,2021,host,audio,
jw,SchöheitvorAlter,2022,host,audio,
jw,veto,2022,ambassador,charity,
jw,Instagram,2020,influencer,social media,
jw,Instagram,2012,influencer,social media,
jw,Instagram,2022,influencer,social media,
sp,GNTM,2020,candidate,tv show,Pro7
sp,OneEins       ,2020,contract,modeling,
sp,OneEins       ,2021,contract,modeling,
sp,Fashionweek_Canada,2021,model,modeling,
sp,munichmodels,2021,contract,modeling,
sp,munichmodels,2022,contract,modeling,
sp,samuelgaertner,2022,model,modeling,
sp,lofficiel_Baltic,2022,model,modeling,
sp,moevir,2022,model,modeling,
sp,Instagram,2020,influencer,social media,
sp,Instagram,2012,influencer,social media,
sp,Instagram,2022,influencer,social media,
sp,TikTok,2020,influencer,social media,
sp,TikTok,2012,influencer,social media,
sp,TikTok,2022,influencer,social media,
mu,GNTM,2020,candidate,tv show,Pro7
mu,OneEins       ,2020,contract,modeling,
mu,OneEins       ,2021,contract,modeling,
mu,tezenis,2020,model,modeling,
mu,lemanagement,2021,contract,modeling,
mu,lemanagement,2022,contract,modeling,
mu,bodylondon,2022,contract,modeling,
mu,Fashionweek_Berlin,2022,model,modeling,
mu,Instagram,2020,influencer,social media,
mu,Instagram,2012,influencer,social media,
mu,Instagram,2022,influencer,social media,
mu,TikTok,2020,influencer,social media,
mu,TikTok,2012,influencer,social media,
mu,TikTok,2022,influencer,social media,