ID,name,name_short,type,birth year,sex,hair,skin,place of birth,nationality,ethnicity,follower_insta,follower_tiktok,market_cap,season_gntm,place_gntm
vf,Vanessa Fuchs,,model,1996,weiblich,brown,light,Bergisch Gladbach,german,,292,,,10,1
elitemodels,Elite Models,,agency,,,,,,,,,,,,
EnzioM,Enzio M. Management,Enzio Management,agency,,,,,,,,,,,,
monstermanagement,Monster Management,Monster Mgmt,agency,,,,,,,,,,,,
issue_Southamerica,Issue South America,,magazine,,,,,,,,,,,,
lofficiel_Brasil,L'officiel Brasil,,magazine,,,,,,,,,,,,
harpersbazaar_Vietnam,Harper's Bazaar Vietnam,,magazine,,,,,,,,,,,,
lofficiel_Italy,L'officiel Italy,,magazine,,,,,,,,,,,,
marieclaire_Arabia,Marie Claire Arabia,,magazine,,,,,,,,,,,,
Fashionweek_Newyork,Fashion Week New York ,,fashion show,,,,,,,,,,,,
karinmodels,Karin Models,,agency,,,,,,,,,,,,
ap,Anuthida Ploypetch,,model,1997,weiblich,black,medium,Bangkok,thailand,thailand,395,,,10,2
rk,Richard Koll,Richy Koll,artist,1994,männlich,,,,,,,,,,
letsfacereality,Let's face Reality,,tv,,,,,,,,,,,,
Fashionweek_Bangkok,Fashion Week Bangkok,,fashion show,,,,,,,,,,,,
cro,Rapper Cro,Cro,musiker,1990,,,,Mutlagen,,,,,,,
as,Ajsa Selimovic,Ajsa Movic,model,1997,weiblich,brown,light,Mühlviertel,austrian,,49,,,10,3
twomanagement,Two Management,,agency,,,,,,,,,,,,
documentjournal,Document Journal,,magazine,,,,,,,,,,,,
numero_Netherlands,Numéro Netherlands,,magazine,,,,,,,,,,,,
numero_Berlin,Numéro Berlin,,magazine,,,,,,,,,,,,
mixte_Paris,Mixte Paris,,magazine,,,,,,,,,,,,
mixte,Mixte,,magazine,,,,,,,,,,,,
eckenundkanten,Ecken+Kanten,,magazine,,,,,,,,,,,,
numero_Berlin,Numéro Berlin,,magazine,,,,,,,,,,,,
tush,Tush,,magazine,,,,,,,,,,,,
lofficiel_Malaysia,L'officiel Malaysia,,magazine,,,,,,,,,,,,
GNTM,Germany's Next Topmodel,,tv,,,,,,,,,,,,
OneEins,ONEeins fab Management,One Eins fab,agency,,,,,,,,,,,,
Instagram,Instagram,Insta,social media,,,,,,,,,,,,